Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
Microscope,https://labequipsupply.co.za/product/microscope/?attribute_microscope-range=Microscope+Compound+monocular,,https://labequipsupply.co.za/wp-content/uploads/2019/09/microscope-new.png,R8666.67,,Yes,Microscope-Range: Microscope Compound monocular
PCR Strips and Caps – 0.2ml 8 Strip with flat cap 125pk size,https://labequipsupply.co.za/product/pcr-strips-and-caps/,SKU- CON-PCR01,https://labequipsupply.co.za/wp-content/uploads/2020/08/PCR-Strips-and-Caps.png,R879.41,,Yes,
Ammonium Acetate CP – 500g,https://labequipsupply.co.za/product/ammonium-acetate-cp/,CHE-A24,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-acetate.jpg,R138.21,82 in stock (can be backordered),Yes,
Ammonium Carbonate AR – 500g,https://labequipsupply.co.za/product/ammonium-carbonate-ar/,CHE-A25,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-carbonate.jpg,R114.05,51 in stock (can be backordered),Yes,
Ammonium Dihydrogen Phosphate AR – 500g,https://labequipsupply.co.za/product/ammonium-dihydrogen-phosphate-ar/,CHE-A31,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-Dihydrogen-Phosphate.jpg,R83.65,116 in stock (can be backordered),Yes,
Aluminium Sulphate AR – 500g,https://labequipsupply.co.za/product/aluminium-sulphate-ar/,CHE-A18,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Aluminium-Sulphate-AR-1.jpg,R104.93,68 in stock (can be backordered),Yes,
Ammonium Molybdate Dihydrate AR – 500g,https://labequipsupply.co.za/product/ammonium-molybdate-dihydrate-ar/,CHE-A39,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-Molybdate.jpg,R942.84,48 in stock (can be backordered),Yes,
Ammonium Persulphate AR – 500g,https://labequipsupply.co.za/product/ammonium-persulphate-ar/,CHE-A41,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-persulphate.jpg,R106.44,112 in stock (can be backordered),Yes,
Ammonium Phosphate Dibasic AR – 500g,https://labequipsupply.co.za/product/ammonium-phosphate-dibasic-ar/,CHE-A43,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-phosphate-dibasic.jpg,R106.44,11 in stock (can be backordered),Yes,
Ammonium Sulphate AR – 500g,https://labequipsupply.co.za/product/ammonium-sulphate-ar/,CHE-A45,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-Sulphate.jpg,R91.24,14 in stock (can be backordered),Yes,
Ammonium Thiocyanate AR – 500g,https://labequipsupply.co.za/product/ammonium-thiocyanate-ar/,CHE-A47,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-Thiocyanate.jpg,R333.04,131 in stock (can be backordered),Yes,
"Benzyl Alcohol AR Glass Bottle – 2,5l",https://labequipsupply.co.za/product/benzyl-alcohol-ar-glass-bottle/,CHE-B3,https://labequipsupply.co.za/wp-content/uploads/2021/02/Benzyl-Alcohol.jpg,R334.56,89 in stock (can be backordered),Yes,
"Butan-1-OL AR – 2,5l",https://labequipsupply.co.za/product/butan-1-ol-ar/,CHE-B7,,R106.44,129 in stock (can be backordered),Yes,
Calcium Nitrite AR – 500g,https://labequipsupply.co.za/product/calcium-nitrite-ar/,CHE-C11,https://labequipsupply.co.za/wp-content/uploads/2021/02/Calcium-Nitrate.jpg,R441.01,,Yes,
Methylated Spirits -2.5l,https://labequipsupply.co.za/product/methylated-spirits-2-5l/,CHE-M19,,R98.85,,Yes,
Dextrose Monohydrate AR – 500g,https://labequipsupply.co.za/product/dextrose-monohydrate-ar/,CHE-D2,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Dextrose-Monohydrate-AR1.jpg,R63.88,,Yes,
"Dichloromethane AR Glass Bottle – 2,5l",https://labequipsupply.co.za/product/dichloromethane-ar-glass-bottle/,CHE-D4,https://labequipsupply.co.za/wp-content/uploads/2021/02/Dichloromethane-HPLC.jpg,R441.01,,Yes,
"Diethyl Ether AR – 2,5l",https://labequipsupply.co.za/product/diethyl-ether-ar/,CHE-D6,https://labequipsupply.co.za/wp-content/uploads/2021/02/Diethyl-Ether-AR-grade.jpg,R775.57,,Yes,
Edta Tetrasodium Salt AR – 500g,https://labequipsupply.co.za/product/edta-tetrasodium-salt-ar/,CHE-E1,https://labequipsupply.co.za/wp-content/uploads/2021/02/EDTA-tetrasodium-salt.jpg,R205.30,,Yes,
"Ethanol 99% AR Glass Bottle Lab Use – 2,5l",https://labequipsupply.co.za/product/ethanol-99-ar-glass-bottle-lab-use/,CHE-E13,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ethanol-99�-GR-grade-1.jpg,R729.93,,Yes,
"Ethanol 70% AR Glass Bottle – 2,5l",https://labequipsupply.co.za/product/ethanol-70-ar-glass-bottle/,CHE-E3,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ethanol-99�-GR-grade.jpg,R882.00,,Yes,
